# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sha	subject	decision	europa_sha	pr	validation
ebc5e64b70866d4e16309d92e139327760213022	[CI] Run `pre-commit autoupdate` to update the hooks (#12943)	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Five hook revisions updated; retain oxipng9.1.5 and markdownlint0.45.0 to avoid unrelated asset/style changes. Dedicated lint Python3.11 preserves product Python3.10. Final lint has the same14 failed hook categories as S1 and no new S2 path diagnostics; the complete lint job still FAILS.
e2012133599af9e2866e1cd58cc3d70081710a46	markdown table format fixes (#13848)	Applied	51505e10746e773cf375312b2593603a898c9608	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-verification.ko.md
1ceb1d0925593f2a95eb782df238dd2efd66e396	docs: fix broken star history chart by using a new provider (#13844)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
659f675b059c1e5008deb3bb28793eadf377d687	README: add three more status buttons (#11650)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
dbee809b639adb759f4acf1af563c66592149b24	Rotate Copilot tokens for the gh-aw agentic workflows (#13525)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
1cd249160eca49c54917ac76bf165e3c1b9ec1df	Update sonar-check.yml to manage coverage comments (#13878)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
e8f200afa3b717b336b1d1dc2fc60e3ad82153b6	Fix database connection leak	Applied	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Scoped lookup executes within Transaction. ConfigDepotImpl/ConfigKey17 tests passed, including two connection-close regressions on success and exception; negative control on baseline implementation fails both new tests.
1e5d534c3ca32c9c775613dddae12fcfab15e2bf	guard against stopping stats background threads (#13659)	Applied	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Stats cleanup catches RuntimeException to preserve scheduled execution. StatsCollector65 tests passed, including four new upstream exception-guard regressions; full backend suites passed.
ea75dc3c43727f7faf0a16d599cbdf3531bfe15b	Fix database connection leak	Already Satisfied	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Identical upstream config-lookup patch is satisfied by Europa8aa74e786d1416f20377579ac32182e0acd915aa and the same two success/error connection-close regressions. No duplicate application.
7fd56e573b8d6055b2d560babc9ad1f6c25d5d32	Merge remote-tracking branch 'apache/4.20' into 4.22	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
7fc063ec13df5b4ae3dfd32242396e7e68436608	build: fix after forward-merge	Adapted	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
efa58cc52fca2c58840b8c83b583e3e36f0f5577	Merge remote-tracking branch 'origin/4.22'	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
d7b4f35825a13fd77369b58c842e9a7d5a681ce9	fixes after forward-merge	Applied	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	Webhook module 253 tests including owner/domain access and destination URL policy; UI regression; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
02182a1572a12a89fc2f429f57bcec6f9e6ad7c0	Merge branch '4.23.0-merge-4.22.1.1' into main	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
8b72a16d61f669ad1141a4c2aefcc331fc90e453	build: fixes after forward-merge	Applied	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	AccountManagerImplTest and role/project regression; UI contract review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
463f8d0294702a920e8020b62ae3b67f52ae1473	Updating pom.xml version numbers for release 4.23.0.0	Adapted	8db43943a7b6ec31197c4e2ffa75049e6d4564cc	https://github.com/ablecloud-team/ablestack-cloud/pull/1041	S8 source review, upload URL regression tests, independent same-version DB cleanup and final version consistency; see s8-verification.ko.md and PR #1041 for final automatic checks. Source version-stamping 172-path check and legacy Docker labels finalized at 8db43943a7b6ec31197c4e2ffa75049e6d4564cc.
