# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sequence	sha	parents	author_date	commit_date	kind	subject	workstream	issue	related_workstreams	files	db_files	api_files	ui_files	patch_id	reverse_check	same_subject_europa	same_subject_upstream	equivalent_upstream	dependencies	pretriage	decision	europa_sha	pr	validation	reviewed_europa_sha	source_url	notes
115	08bb37a566eab9c9eda1de3f2235290413851df8	2377dc5e63f21e646ca54abaae8287c521717280	2026-03-08T13:25:27-03:00	2026-03-13T09:33:21+01:00	commit	Cleanup imported VM from disk on failure due to volume allocation + prevent duplicate volume and primary storage increment on import	S4	#992		engine/api/src/main/java/org/apache/cloudstack/engine/orchestration/service/VolumeOrchestrationService.java;engine/orchestration/src/main/java/com/cloud/vm/VirtualMachineManagerImpl.java;engine/orchestration/src/main/java/org/apache/cloudstack/engine/orchestration/VolumeOrchestrator.java;server/src/main/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImpl.java;server/src/test/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImplTest.java				47e0814824de297d27ce627c6a4a9c4372b13eb0	FAIL	da94b79294b1418f9b32c404c011ce5b6e15426e				Same Subject Candidate	Already Satisfied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/08bb37a566eab9c9eda1de3f2235290413851df8	같은 제목의 Europa 커밋은 기능/patch 차이 추가 검토. S4 final: Already has allocateRawVolume updateResourceCount switch, false for imports, true for deployment, and outer reservation failure cleanup; preserve explicit device IDs and EXTERNAL template path; source-specific application SHA in s4-review.tsv.
116	928dc7dfc0adf2bba07240cb1c10073fc3b2f654	08bb37a566eab9c9eda1de3f2235290413851df8	2026-03-08T14:08:05-03:00	2026-03-13T09:33:21+01:00	commit	Fix failing tests	S4	#992		server/src/test/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImplTest.java				dd205c1679b98c6cdea18405d690fe53e83eb724	PASS					Reverse Patch Present Candidate	Already Satisfied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/928dc7dfc0adf2bba07240cb1c10073fc3b2f654	014895d8f3 clean tree reverse apply --check 성공; 기능 검증 미실행. S4 final: Baseline VM import tests already match allocateRawVolume updateResourceCount boolean; final import tests preserve false for imports and typed cleanup.; source-specific application SHA in s4-review.tsv.
117	3f4f574e5c95349dbf0c3328ea1e737d69374d03	928dc7dfc0adf2bba07240cb1c10073fc3b2f654	2026-03-10T18:33:00-03:00	2026-03-13T09:33:21+01:00	commit	Address public IP limit validations	S4	#992		engine/schema/src/main/java/com/cloud/dc/dao/AccountVlanMapDao.java;engine/schema/src/main/java/com/cloud/dc/dao/AccountVlanMapDaoImpl.java;engine/schema/src/main/java/com/cloud/dc/dao/DomainVlanMapDao.java;engine/schema/src/main/java/com/cloud/dc/dao/DomainVlanMapDaoImpl.java;server/src/main/java/com/cloud/api/ApiDBUtils.java;server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java;server/src/main/java/com/cloud/network/NetworkServiceImpl.java;server/src/main/java/com/cloud/resourcelimit/CheckedReservation.java				720336a341277c46dc47d2a7315c726dfadbf0fd	FAIL					Source Review Required	Already Satisfied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/3f4f574e5c95349dbf0c3328ea1e737d69374d03	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. S4 final: Europa already reserves create/update/dedicate public IP ranges, releases handles and applies resource count deltas; preserve provider and domain extensions; source-specific application SHA in s4-review.tsv.
118	a09835b1f4cea559aa93a49ea16ac37eddda6a2e	3f4f574e5c95349dbf0c3328ea1e737d69374d03	2026-03-13T16:28:30+05:30	2026-03-13T16:28:30+05:30	commit	review comments	S4	#992		server/src/main/java/com/cloud/projects/ProjectManagerImpl.java;server/src/main/java/com/cloud/storage/ImageStoreUploadMonitorImpl.java;server/src/main/java/com/cloud/storage/download/DownloadListener.java;server/src/main/java/com/cloud/template/TemplateManagerImpl.java				4025f596f110b952d963976055edc6bf3aade3e6	FAIL					Source Review Required	Already Satisfied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/a09835b1f4cea559aa93a49ea16ac37eddda6a2e	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. S4 final: Project transfer already avoids duplicate checks; nullable download sizes/account and template-copy null-size guards are retained in Europa; source-specific application SHA in s4-review.tsv.
119	4a691f43df625cb32cd09f62ed71a5f60f236d2a	a09835b1f4cea559aa93a49ea16ac37eddda6a2e	2026-03-13T17:26:43+05:30	2026-03-13T17:26:43+05:30	commit	fix identation	S4	#992		engine/orchestration/src/main/java/org/apache/cloudstack/engine/orchestration/NetworkOrchestrator.java;server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java;server/src/main/java/com/cloud/network/NetworkServiceImpl.java;server/src/main/java/com/cloud/network/vpc/VpcManagerImpl.java;server/src/main/java/com/cloud/projects/ProjectManagerImpl.java;server/src/main/java/com/cloud/storage/VolumeApiServiceImpl.java;server/src/main/java/com/cloud/template/TemplateManagerImpl.java;server/src/main/java/com/cloud/vm/UserVmManagerImpl.java;server/src/main/java/org/apache/cloudstack/storage/volume/VolumeImportUnmanageManagerImpl.java;server/src/main/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImpl.java				4d0268c30c7a20e5be65507f0035f9fb1d1a0f53	FAIL					Source Review Required	Excluded	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/4a691f43df625cb32cd09f62ed71a5f60f236d2a	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. 원본 Git 제목의 철자를 그대로 보존: # codespell:ignore identation S4 final: Whitespace-only formatting against older reservation bodies is not imported. Initial context application was completely restored by d141290804; final reservation behavior and matching tests are preserved.; source-specific application SHA in s4-review.tsv.
120	f6cad87586f6079f14984873ba8839d054254e46	4a691f43df625cb32cd09f62ed71a5f60f236d2a	2026-03-17T06:56:09+05:30	2026-03-17T06:59:44+05:30	commit	Fix copy snapshot resource limit	S4	#992		server/src/main/java/com/cloud/storage/snapshot/SnapshotManagerImpl.java				870d651e934593e65cd86f339aa270383294dcdd	FAIL					Source Review Required	Already Satisfied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/f6cad87586f6079f14984873ba8839d054254e46	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. S4 final: Snapshot copy already uses reservations, required-space guard and incremental conversion/extract cleanup; preserve later copy behavior; source-specific application SHA in s4-review.tsv.
121	ce52b9dae0cef57394967346247914a47cb04da4	f6cad87586f6079f14984873ba8839d054254e46;61afb4cb782a0fa1042c85ee894370eb71b5cce4	2026-03-17T07:22:45+05:30	2026-03-17T07:22:45+05:30	merge	Merge branch '4.20' into 20.3.0-sec	S2	#990	S4	.github/workflows/merge-conflict-checker.yml;api/src/main/java/org/apache/cloudstack/api/ApiServerService.java;core/src/main/java/com/cloud/agent/api/ModifyStoragePoolAnswer.java;engine/schema/src/main/java/com/cloud/user/UserVO.java;engine/schema/src/main/java/com/cloud/user/dao/AccountDao.java;engine/schema/src/main/java/com/cloud/user/dao/AccountDaoImpl.java;plugins/hypervisors/xenserver/src/main/java/com/cloud/hypervisor/xenserver/resource/wrapper/xenbase/CitrixModifyStoragePoolCommandWrapper.java;plugins/user-authenticators/oauth2/src/main/java/org/apache/cloudstack/oauth2/api/command/OauthLoginAPIAuthenticatorCmd.java;plugins/user-authenticators/oauth2/src/test/java/org/apache/cloudstack/oauth2/api/command/OauthLoginAPIAuthenticatorCmdTest.java;server/src/main/java/com/cloud/api/ApiServer.java;server/src/main/java/com/cloud/api/auth/DefaultLoginAPIAuthenticatorCmd.java;server/src/main/java/com/cloud/server/ManagementServerImpl.java;server/src/main/java/com/cloud/template/TemplateManagerImpl.java;server/src/main/java/com/cloud/user/AccountManagerImpl.java;server/src/test/java/com/cloud/user/AccountManagentImplTestBase.java;server/src/test/java/com/cloud/user/AccountManagerImplTest.java;server/src/test/java/com/cloud/user/AccountManagerImplVolumeDeleteEventTest.java;server/src/test/java/com/cloud/user/AccountManagetImplTestBase.java;ui/src/config/section/user.js		api/src/main/java/org/apache/cloudstack/api/ApiServerService.java	ui/src/config/section/user.js							Merge Resolution Review	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/apache/cloudstack/commit/ce52b9dae0cef57394967346247914a47cb04da4	SnapshotManager 생성/persist/자원 카운트 합성. 중복 count 및 실패 회수 확인. | S2 review: 19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S4 DB/reservation hunks reviewed at 551a19f7caecb817c48eca0e9f3754d433aac241 (#1016); retain Pending for remaining side commits/functions. See s4-dependencies.tsv. | S5B final review: All in-scope sources resolved. Snapshot remerge keeps S4 CheckedReservation, persistence before single resource increment, and exception propagation without double accounting.
122	639ceeea619701831a89f0ab95b1c362549bf3bc	ce52b9dae0cef57394967346247914a47cb04da4	2026-03-18T06:57:02+05:30	2026-03-18T16:10:29+05:30	commit	Fix snapshot copy resource limit concurrency	S4	#992		server/src/main/java/com/cloud/storage/snapshot/SnapshotManagerImpl.java;server/src/test/java/com/cloud/storage/snapshot/SnapshotManagerImplTest.java				035206bcd48e38a827f66935e060603d4b053eb8	FAIL	fe03ece06db3b0369b0c276875051706b9fc5cba				Same Subject Candidate	Already Satisfied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/639ceeea619701831a89f0ab95b1c362549bf3bc	같은 제목의 Europa 커밋은 기능/patch 차이 추가 검토. S4 final: Snapshot chain already reserves total bytes once and passes false for per-snapshot checks; release and failure behavior retained with incremental snapshot support; source-specific application SHA in s4-review.tsv.
123	d5101b0c905a818a83c5048dc37447162040089e	f49ab6b394d8685ef6555adac2afbf52e5cb963f;639ceeea619701831a89f0ab95b1c362549bf3bc	2026-06-29T15:33:26+02:00	2026-06-29T15:33:26+02:00	merge	Merge branch '4.20' into 4.22	S2	#990	S4,S5B											Merge Resolution Review	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/apache/cloudstack/commit/d5101b0c905a818a83c5048dc37447162040089e	snapshot copy 메서드/복사 URL/자원 제한 및 테스트 import 합성. | S2 review: 19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S4 DB/reservation hunks reviewed at 551a19f7caecb817c48eca0e9f3754d433aac241 (#1016); retain Pending for remaining side commits/functions. See s4-dependencies.tsv. | S5B final review: All in-scope sources including ce52b9dae0ce resolved. Snapshot-copy URL and concurrent reservation flow plus tests are retained in Europa; preserve S4 reservation lifetime and cleanup.
124	fb5e24fa086880b0b3058278c0878ef404af0e59	5ed4894e97b03b8f49cc10e2094bde980f7adfa0;d5101b0c905a818a83c5048dc37447162040089e	2026-06-29T15:42:25+02:00	2026-06-29T15:42:25+02:00	merge	Merge branch '4.22'	S2	#990	S3,S2	engine/schema/src/main/java/com/cloud/usage/dao/UsageJobDaoImpl.java;framework/spring/lifecycle/src/main/java/org/apache/cloudstack/spring/lifecycle/CloudStackExtendedLifeCycle.java;framework/spring/module/src/main/java/org/apache/cloudstack/spring/module/model/impl/DefaultModuleDefinitionSet.java;pom.xml;server/pom.xml;server/src/main/java/com/cloud/api/ApiServer.java;server/src/main/java/com/cloud/server/StatsCollector.java;tools/docker/supervisord.conf;ui/src/components/view/ImageDeployInstanceButton.vue;ui/src/views/compute/wizard/VnfNicsSelection.vue			ui/src/components/view/ImageDeployInstanceButton.vue;ui/src/views/compute/wizard/VnfNicsSelection.vue							Merge Resolution Review	Already Satisfied	df859ac8cb4a2cd6b06fdd11f3a074d49083f563	https://github.com/ablecloud-team/ablestack-cloud/pull/1039	S7 Docker UI380, actual MySQL fresh/014/S6 upgrade and repeat plus interrupted-DDL replay, Management GUI theme API; final Java/Chromium/official Actions evidence in s7-verification.ko.md and PR #1039. Physical scenarios NOT_RUN #1025.	df859ac8cb4a2cd6b06fdd11f3a074d49083f563	https://github.com/apache/cloudstack/commit/fb5e24fa086880b0b3058278c0878ef404af0e59	ACL Rule regex, ApiServer import, server POM 해결. f49ab6b394 최종 동작 대조. | S2 review: 19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md. | S7: Rule matchingPattern wildcard/case normalization retained; MinIO 8.6.0 plus OpenTelemetry 1.51.0/2.16.0 coexist; ApiServer imports and tracing retained. Last side source 8e933b735e21 is now applied and tested.
125	236e01aad8d75cc84c9c05737984be501ff15d5f	fb5e24fa086880b0b3058278c0878ef404af0e59	2026-06-29T18:21:19-03:00	2026-06-29T18:21:19-03:00	commit	Soft delete port forwarding, load balancing and firewall rules (#13015)	S6	#997	S4	engine/schema/src/main/java/com/cloud/network/LBHealthCheckPolicyVO.java;engine/schema/src/main/java/com/cloud/network/dao/FirewallRulesDaoImpl.java;engine/schema/src/main/java/com/cloud/network/dao/LBHealthCheckPolicyDaoImpl.java;engine/schema/src/main/java/com/cloud/network/dao/LBStickinessPolicyDao.java;engine/schema/src/main/java/com/cloud/network/dao/LBStickinessPolicyDaoImpl.java;engine/schema/src/main/java/com/cloud/network/dao/LBStickinessPolicyVO.java;engine/schema/src/main/java/com/cloud/network/dao/LoadBalancerCertMapVO.java;engine/schema/src/main/java/com/cloud/network/dao/LoadBalancerVMMapDaoImpl.java;engine/schema/src/main/java/com/cloud/network/dao/LoadBalancerVMMapVO.java;engine/schema/src/main/java/com/cloud/network/rules/FirewallRuleVO.java;engine/schema/src/main/java/org/apache/cloudstack/region/gslb/GlobalLoadBalancerRuleVO.java;engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql;plugins/network-elements/elastic-loadbalancer/src/main/java/com/cloud/network/ElasticLbVmMapVO.java;plugins/network-elements/tungsten/src/main/java/org/apache/cloudstack/network/tungsten/dao/TungstenFabricLBHealthMonitorVO.java;server/src/main/java/com/cloud/network/lb/LoadBalancingRulesManagerImpl.java;test/integration/component/test_vpc_network_lbrules.py;test/integration/smoke/test_network.py	engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql			0e5532588603a68ed86ee9ab0126d9873606bddc	FAIL					Source Review Required	Adapted	5674d5f0f43088ff8b739634e5a532c8c9afd239	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-verification.ko.md	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/apache/cloudstack/commit/236e01aad8d75cc84c9c05737984be501ff15d5f	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요. | S6: Source change applied; related API/manager/provider tests and full reactor regression reviewed. New S6 journal phase installs DDL for existing same-version DBs; earlier completed phases are unchanged.
126	1853435185f5b2712fd605a1a9a2df726b2ce5dc	236e01aad8d75cc84c9c05737984be501ff15d5f	2026-06-29T23:22:49+02:00	2026-06-29T18:22:49-03:00	commit	Fix RESTRICTED_TOKENS typo issue (#12709)	S3	#991		utils/src/main/java/org/apache/cloudstack/utils/jsinterpreter/JsInterpreter.java				c05222465008e61035bf94ae8bb80a64ef36739f	FAIL					Source Review Required	Applied	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/1853435185f5b2712fd605a1a9a2df726b2ce5dc	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. S3 final review: cherry-pick; initial/adapted commit and duplicate peer in s3-review.tsv.
